Source : Pôle emploi - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à Pôle emploi par Commune de plus de 5000 hab. - Région : La Réunion - Juillet 2016 à Décembre 2022 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?fh=2&fi=04&lk=0&pp=201607-&ss=1
Mois;Bras-Panon 97412;Cilaos 97413;Entre-Deux 97414;La Plaine-des-Palmistes 97431;La Possession 97419;Le Port 97420;Le Tampon 97430;Les Avirons 97425;Les Trois-Bassins 97426;L'Étang-Salé 97427;Petite-Île 97429;Saint-André 97440;Saint-Benoît 97470;Saint-Denis 97400;Sainte-Marie 97438;Sainte-Rose 97439;Sainte-Suzanne 97441;Saint-Joseph 97480;Saint-Leu 97436;Saint-Louis 97434;Saint-Paul 97460;Saint-Philippe 97442;Saint-Pierre 97410;Salazie 97433;Communes de moins de 5 000 habitants ou données indisponibles;Total
Juillet 2016; 2 510; 1 710; 1 440; 1 180; 5 690; 8 340; 17 230; 2 040; 1 760; 2 980; 2 530; 10 560; 7 190; 26 420; 6 080; 1 620; 4 370; 9 460; 8 230; 12 670; 21 310; 1 460; 19 610; 1 790;  20; 178 180
Août 2016; 2 590; 1 710; 1 460; 1 210; 5 760; 8 560; 17 850; 2 100; 1 790; 2 990; 2 580; 10 780; 7 360; 26 790; 6 160; 1 660; 4 380; 9 540; 8 370; 12 850; 21 860; 1 460; 19 800; 1 810;  20; 181 430
Septembre 2016; 2 550; 1 720; 1 450; 1 240; 5 780; 8 550; 17 780; 2 090; 1 800; 2 990; 2 560; 10 830; 7 260; 26 730; 6 100; 1 680; 4 390; 9 620; 8 410; 12 880; 21 950; 1 480; 19 910; 1 800;  20; 181 570
Octobre 2016; 2 530; 1 690; 1 450; 1 240; 5 770; 8 630; 17 980; 2 100; 1 820; 2 990; 2 560; 10 840; 7 240; 26 770; 6 020; 1 660; 4 380; 9 600; 8 370; 12 900; 21 970; 1 470; 19 760; 1 800;  10; 181 530
Novembre 2016; 2 540; 1 670; 1 480; 1 240; 5 720; 8 670; 17 950; 2 110; 1 790; 3 010; 2 560; 10 850; 7 200; 26 810; 6 060; 1 640; 4 410; 9 550; 8 320; 12 880; 21 990; 1 450; 19 920; 1 780;  10; 181 610
Décembre 2016; 2 490; 1 680; 1 470; 1 230; 5 660; 8 510; 17 900; 2 100; 1 790; 2 990; 2 580; 10 690; 7 110; 26 560; 6 010; 1 620; 4 400; 9 560; 8 330; 12 860; 21 910; 1 460; 19 710; 1 770;  10; 180 400
Janvier 2017; 2 500; 1 700; 1 500; 1 240; 5 820; 8 640; 18 160; 2 130; 1 800; 3 060; 2 590; 10 920; 7 190; 27 190; 6 050; 1 620; 4 400; 9 590; 8 490; 13 060; 22 140; 1 460; 19 960; 1 770;  10; 182 970
Février 2017; 2 480; 1 710; 1 490; 1 230; 5 820; 8 530; 18 070; 2 120; 1 810; 2 990; 2 580; 10 880; 7 130; 27 200; 6 060; 1 600; 4 400; 9 540; 8 450; 12 970; 22 080; 1 430; 19 930; 1 760;  10; 182 260
Mars 2017; 2 490; 1 700; 1 490; 1 250; 5 730; 8 560; 18 050; 2 110; 1 790; 2 960; 2 600; 10 850; 7 150; 27 080; 6 020; 1 590; 4 350; 9 510; 8 250; 12 910; 21 940; 1 440; 19 840; 1 770;  20; 181 450
Avril 2017; 2 450; 1 670; 1 510; 1 220; 5 710; 8 520; 18 020; 2 100; 1 790; 2 930; 2 580; 10 780; 7 080; 26 920; 5 950; 1 560; 4 310; 9 430; 8 270; 12 780; 21 730; 1 440; 19 720; 1 780;  20; 180 250
