Source : Pôle emploi - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à Pôle emploi par Niveau de formation - Région : La Réunion - Janvier 1996 à Décembre 2022 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?fi=04&lw=0&ss=1
Mois;Non renseigné;Niveau supérieur à Bac+2;Niveau Bac+2;Niveau Bac;Niveau BEP, CAP;Niveau CEP, BEPC;Niveau inférieur au CEP, BEPC;Total
Janvier 1996;ND;ND;ND;ND;ND;ND;ND; 102 140
Février 1996;ND;ND;ND;ND;ND;ND;ND; 103 670
Mars 1996;ND;ND;ND;ND;ND;ND;ND; 103 870
Avril 1996;ND;ND;ND;ND;ND;ND;ND; 104 250
Mai 1996;ND;ND;ND;ND;ND;ND;ND; 103 940
Juin 1996;ND;ND;ND;ND;ND;ND;ND; 103 740
Juillet 1996;ND;ND;ND;ND;ND;ND;ND; 105 350
Août 1996;ND;ND;ND;ND;ND;ND;ND; 107 080
Septembre 1996;ND;ND;ND;ND;ND;ND;ND; 107 640
Octobre 1996;ND;ND;ND;ND;ND;ND;ND; 108 690
Novembre 1996;ND;ND;ND;ND;ND;ND;ND; 108 120
Décembre 1996;ND;ND;ND;ND;ND;ND;ND; 107 880
Janvier 1997;ND;ND;ND;ND;ND;ND;ND; 110 960
Février 1997;ND;ND;ND;ND;ND;ND;ND; 111 220
Mars 1997;ND;ND;ND;ND;ND;ND;ND; 111 060
Avril 1997;ND;ND;ND;ND;ND;ND;ND; 112 920
Mai 1997;ND;ND;ND;ND;ND;ND;ND; 111 910
Juin 1997;ND;ND;ND;ND;ND;ND;ND; 110 970
Juillet 1997;ND;ND;ND;ND;ND;ND;ND; 112 420
Août 1997;ND;ND;ND;ND;ND;ND;ND; 114 480
Septembre 1997;ND;ND;ND;ND;ND;ND;ND; 117 710
Octobre 1997;ND;ND;ND;ND;ND;ND;ND; 118 310
Novembre 1997;ND;ND;ND;ND;ND;ND;ND; 117 210
Décembre 1997;ND;ND;ND;ND;ND;ND;ND; 115 850
Janvier 1998;ND;ND;ND;ND;ND;ND;ND; 119 940
Février 1998;ND;ND;ND;ND;ND;ND;ND; 119 330
Mars 1998;ND;ND;ND;ND;ND;ND;ND; 119 010
Avril 1998;ND;ND;ND;ND;ND;ND;ND; 117 740
Mai 1998;ND;ND;ND;ND;ND;ND;ND; 117 130
Juin 1998;ND;ND;ND;ND;ND;ND;ND; 116 830
Juillet 1998;ND;ND;ND;ND;ND;ND;ND; 115 310
Août 1998;ND;ND;ND;ND;ND;ND;ND; 118 070
Septembre 1998;ND;ND;ND;ND;ND;ND;ND; 119 250
Octobre 1998;ND;ND;ND;ND;ND;ND;ND; 120 440
Novembre 1998;ND;ND;ND;ND;ND;ND;ND; 120 140
Décembre 1998;ND;ND;ND;ND;ND;ND;ND; 117 800
Janvier 1999;ND;ND;ND;ND;ND;ND;ND; 122 130
Février 1999;ND;ND;ND;ND;ND;ND;ND; 121 600
Mars 1999;ND;ND;ND;ND;ND;ND;ND; 122 200
Avril 1999;ND;ND;ND;ND;ND;ND;ND; 123 310
Mai 1999;ND;ND;ND;ND;ND;ND;ND; 122 930
Juin 1999;ND;ND;ND;ND;ND;ND;ND; 122 850
Juillet 1999;ND;ND;ND;ND;ND;ND;ND; 121 970
Août 1999;ND;ND;ND;ND;ND;ND;ND; 125 120
Septembre 1999;ND;ND;ND;ND;ND;ND;ND; 125 360
Octobre 1999;ND;ND;ND;ND;ND;ND;ND; 125 820
Novembre 1999;ND;ND;ND;ND;ND;ND;ND; 126 070
Décembre 1999;ND;ND;ND;ND;ND;ND;ND; 123 930
Janvier 2000;ND;ND;ND;ND;ND;ND;ND; 128 390
Février 2000;ND;ND;ND;ND;ND;ND;ND; 128 050
Mars 2000;ND;ND;ND;ND;ND;ND;ND; 127 910
Avril 2000;ND;ND;ND;ND;ND;ND;ND; 127 820
Mai 2000;ND;ND;ND;ND;ND;ND;ND; 127 250
Juin 2000;ND;ND;ND;ND;ND;ND;ND; 126 830
Juillet 2000;ND;ND;ND;ND;ND;ND;ND; 125 630
Août 2000;ND;ND;ND;ND;ND;ND;ND; 127 770
Septembre 2000;ND;ND;ND;ND;ND;ND;ND; 128 100
Octobre 2000;ND;ND;ND;ND;ND;ND;ND; 128 250
Novembre 2000;ND;ND;ND;ND;ND;ND;ND; 128 630
Décembre 2000;ND;ND;ND;ND;ND;ND;ND; 125 700
Janvier 2001;ND;ND;ND;ND;ND;ND;ND; 128 990
Février 2001;ND;ND;ND;ND;ND;ND;ND; 127 910
Mars 2001;ND;ND;ND;ND;ND;ND;ND; 127 010
Avril 2001;ND;ND;ND;ND;ND;ND;ND; 127 620
Mai 2001;ND;ND;ND;ND;ND;ND;ND; 126 610
Juin 2001;ND;ND;ND;ND;ND;ND;ND; 125 720
Juillet 2001;ND;ND;ND;ND;ND;ND;ND; 127 420
Août 2001;ND;ND;ND;ND;ND;ND;ND; 128 990
Septembre 2001;ND;ND;ND;ND;ND;ND;ND; 127 820
Octobre 2001;ND;ND;ND;ND;ND;ND;ND; 128 760
Novembre 2001;ND;ND;ND;ND;ND;ND;ND; 127 880
Décembre 2001;ND;ND;ND;ND;ND;ND;ND; 124 960
Janvier 2002;ND;ND;ND;ND;ND;ND;ND; 127 710
Février 2002;ND;ND;ND;ND;ND;ND;ND; 128 810
Mars 2002;ND;ND;ND;ND;ND;ND;ND; 128 570
Avril 2002;ND;ND;ND;ND;ND;ND;ND; 128 050
Mai 2002;ND;ND;ND;ND;ND;ND;ND; 127 160
Juin 2002;ND;ND;ND;ND;ND;ND;ND; 125 750
Juillet 2002;ND;ND;ND;ND;ND;ND;ND; 127 000
Août 2002;ND;ND;ND;ND;ND;ND;ND; 127 630
Septembre 2002;ND;ND;ND;ND;ND;ND;ND; 127 120
Octobre 2002;ND;ND;ND;ND;ND;ND;ND; 125 860
Novembre 2002;ND;ND;ND;ND;ND;ND;ND; 124 070
Décembre 2002;ND;ND;ND;ND;ND;ND;ND; 122 330
Janvier 2003;ND;ND;ND;ND;ND;ND;ND; 122 590
Février 2003;ND;ND;ND;ND;ND;ND;ND; 123 120
Mars 2003;ND;ND;ND;ND;ND;ND;ND; 122 990
Avril 2003;ND;ND;ND;ND;ND;ND;ND; 126 120
Mai 2003;ND;ND;ND;ND;ND;ND;ND; 120 260
Juin 2003;ND;ND;ND;ND;ND;ND;ND; 118 070
Juillet 2003;ND;ND;ND;ND;ND;ND;ND; 119 450
