Source : Pôle emploi - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à Pôle emploi par Sexe - Région : La Réunion - Janvier 1996 à Décembre 2022 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?fi=04&la=0&ss=1
Mois;Hommes;Femmes;Total
Janvier 1996; 50 610; 51 530; 102 140
Février 1996; 51 510; 52 160; 103 670
Mars 1996; 51 650; 52 220; 103 870
Avril 1996; 52 080; 52 180; 104 250
Mai 1996; 52 140; 51 790; 103 940
Juin 1996; 51 940; 51 800; 103 740
Juillet 1996; 52 540; 52 820; 105 350
Août 1996; 52 900; 54 180; 107 080
Septembre 1996; 53 250; 54 390; 107 640
Octobre 1996; 53 460; 55 230; 108 690
Novembre 1996; 53 310; 54 800; 108 120
Décembre 1996; 53 870; 54 010; 107 880
Janvier 1997; 55 400; 55 570; 110 960
Février 1997; 55 790; 55 430; 111 220
Mars 1997; 55 930; 55 130; 111 060
Avril 1997; 56 950; 55 970; 112 920
Mai 1997; 56 750; 55 160; 111 910
Juin 1997; 56 130; 54 840; 110 970
Juillet 1997; 56 620; 55 800; 112 420
Août 1997; 57 030; 57 450; 114 480
Septembre 1997; 58 710; 59 000; 117 710
Octobre 1997; 58 930; 59 380; 118 310
Novembre 1997; 58 470; 58 740; 117 210
Décembre 1997; 58 510; 57 340; 115 850
Janvier 1998; 60 430; 59 510; 119 940
Février 1998; 60 200; 59 130; 119 330
Mars 1998; 59 960; 59 050; 119 010
Avril 1998; 59 480; 58 260; 117 740
Mai 1998; 59 520; 57 610; 117 130
Juin 1998; 58 900; 57 940; 116 830
Juillet 1998; 58 310; 57 000; 115 310
Août 1998; 59 110; 58 960; 118 070
Septembre 1998; 59 810; 59 440; 119 250
Octobre 1998; 60 270; 60 170; 120 440
Novembre 1998; 60 260; 59 890; 120 140
Décembre 1998; 59 930; 57 870; 117 800
Janvier 1999; 61 810; 60 320; 122 130
Février 1999; 61 860; 59 740; 121 600
Mars 1999; 61 960; 60 250; 122 200
Avril 1999; 62 750; 60 560; 123 310
Mai 1999; 62 550; 60 380; 122 930
Juin 1999; 62 070; 60 770; 122 850
Juillet 1999; 61 810; 60 160; 121 970
Août 1999; 62 470; 62 650; 125 120
Septembre 1999; 62 780; 62 580; 125 360
Octobre 1999; 62 760; 63 060; 125 820
Novembre 1999; 62 850; 63 220; 126 070
Décembre 1999; 62 310; 61 620; 123 930
Janvier 2000; 64 490; 63 900; 128 390
Février 2000; 64 330; 63 720; 128 050
Mars 2000; 64 030; 63 880; 127 910
Avril 2000; 63 770; 64 050; 127 820
Mai 2000; 63 360; 63 890; 127 250
Juin 2000; 63 020; 63 820; 126 830
Juillet 2000; 62 270; 63 370; 125 630
Août 2000; 62 870; 64 900; 127 770
Septembre 2000; 63 020; 65 070; 128 100
Octobre 2000; 62 720; 65 530; 128 250
Novembre 2000; 62 900; 65 730; 128 630
Décembre 2000; 61 880; 63 820; 125 700
Janvier 2001; 63 680; 65 310; 128 990
Février 2001; 63 060; 64 850; 127 910
Mars 2001; 62 470; 64 540; 127 010
Avril 2001; 62 640; 64 990; 127 620
Mai 2001; 62 150; 64 450; 126 610
Juin 2001; 61 600; 64 120; 125 720
Juillet 2001; 62 080; 65 340; 127 420
Août 2001; 62 660; 66 330; 128 990
Septembre 2001; 62 310; 65 510; 127 820
Octobre 2001; 62 600; 66 170; 128 760
Novembre 2001; 62 190; 65 690; 127 880
Décembre 2001; 61 590; 63 370; 124 960
Janvier 2002; 63 120; 64 590; 127 710
Février 2002; 63 560; 65 250; 128 810
Mars 2002; 63 440; 65 120; 128 570
Avril 2002; 63 330; 64 720; 128 050
Mai 2002; 62 860; 64 300; 127 160
Juin 2002; 62 100; 63 660; 125 750
Juillet 2002; 62 320; 64 680; 127 000
Août 2002; 62 620; 65 020; 127 630
Septembre 2002; 62 510; 64 610; 127 120
Octobre 2002; 61 920; 63 940; 125 860
Novembre 2002; 61 270; 62 810; 124 070
Décembre 2002; 61 130; 61 200; 122 330
Janvier 2003; 61 490; 61 100; 122 590
Février 2003; 61 580; 61 540; 123 120
Mars 2003; 61 320; 61 670; 122 990
Avril 2003; 63 000; 63 120; 126 120
Mai 2003; 60 030; 60 220; 120 260
Juin 2003; 58 770; 59 300; 118 070
Juillet 2003; 58 710; 60 740; 119 450
Août 2003; 58 140; 60 720; 118 850
Septembre 2003; 57 980; 60 850; 118 830
Octobre 2003; 56 980; 60 110; 117 080
Novembre 2003; 56 080; 59 010; 115 090
Décembre 2003; 55 680; 58 190; 113 870
Janvier 2004; 56 320; 58 290; 114 610
Février 2004; 55 850; 58 150; 114 000
Mars 2004; 55 870; 58 520; 114 390
Avril 2004; 55 480; 58 540; 114 020
Mai 2004; 55 310; 58 040; 113 360
Juin 2004; 55 320; 58 270; 113 590
Juillet 2004; 54 930; 58 840; 113 770
Août 2004; 55 420; 59 650; 115 060
Septembre 2004; 54 790; 59 090; 113 880
Octobre 2004; 54 210; 58 660; 112 870
Novembre 2004; 54 070; 58 520; 112 590
Décembre 2004; 54 150; 57 700; 111 850
Janvier 2005; 55 450; 58 120; 113 560
Février 2005; 55 380; 58 020; 113 410
Mars 2005; 54 900; 58 130; 113 030
Avril 2005; 54 280; 57 540; 111 820
Mai 2005; 54 080; 57 600; 111 670
Juin 2005; 53 160; 57 170; 110 330
Juillet 2005; 52 570; 57 240; 109 810
Août 2005; 52 820; 58 030; 110 860
Septembre 2005; 52 260; 58 140; 110 400
Octobre 2005; 51 460; 57 570; 109 020
Novembre 2005; 50 680; 56 660; 107 340
Décembre 2005; 51 270; 56 120; 107 380
Janvier 2006; 52 430; 56 480; 108 910
Février 2006; 52 260; 56 140; 108 400
Mars 2006; 51 470; 55 920; 107 390
Avril 2006; 50 170; 54 800; 104 970
Mai 2006; 49 670; 54 380; 104 050
Juin 2006; 49 200; 54 490; 103 690
Juillet 2006; 48 510; 54 250; 102 760
Août 2006; 48 710; 54 860; 103 570
Septembre 2006; 48 470; 54 920; 103 390
Octobre 2006; 48 180; 54 590; 102 770
Novembre 2006; 47 410; 53 830; 101 240
Décembre 2006; 47 010; 52 530; 99 540
Janvier 2007; 48 010; 53 140; 101 150
Février 2007; 47 130; 52 620; 99 740
Mars 2007; 47 490; 53 480; 100 970
Avril 2007; 46 980; 53 170; 100 150
Mai 2007; 46 500; 53 030; 99 530
Juin 2007; 46 080; 52 880; 98 970
Juillet 2007; 45 660; 52 820; 98 480
Août 2007; 46 420; 54 060; 100 470
Septembre 2007; 46 600; 54 270; 100 870
Octobre 2007; 46 100; 53 970; 100 060
Novembre 2007; 45 700; 53 270; 98 970
Décembre 2007; 44 770; 51 490; 96 250
Janvier 2008; 46 480; 52 770; 99 250
Février 2008; 46 360; 53 060; 99 420
Mars 2008; 46 530; 53 360; 99 890
Avril 2008; 46 640; 53 580; 100 220
Mai 2008; 46 570; 53 480; 100 040
Juin 2008; 46 700; 53 480; 100 180
Juillet 2008; 47 050; 54 300; 101 350
Août 2008; 47 700; 55 070; 102 770
Septembre 2008; 48 240; 55 500; 103 740
Octobre 2008; 48 910; 55 920; 104 820
Novembre 2008; 49 080; 55 230; 104 310
Décembre 2008; 49 880; 54 530; 104 410
Janvier 2009; 51 990; 55 360; 107 360
Février 2009; 53 390; 56 620; 110 000
Mars 2009; 54 810; 57 330; 112 130
Avril 2009; 56 110; 58 090; 114 200
Mai 2009; 56 690; 57 750; 114 440
Juin 2009; 57 440; 58 070; 115 510
Juillet 2009; 58 360; 58 780; 117 140
Août 2009; 59 680; 60 370; 120 050
Septembre 2009; 60 720; 61 220; 121 940
Octobre 2009; 61 710; 62 650; 124 350
Novembre 2009; 62 310; 63 070; 125 370
Décembre 2009; 62 850; 63 140; 125 990
Janvier 2010; 65 250; 65 360; 130 610
Février 2010; 65 850; 66 250; 132 100
Mars 2010; 66 590; 67 560; 134 150
Avril 2010; 66 730; 67 830; 134 560
Mai 2010; 66 480; 67 540; 134 030
Juin 2010; 66 720; 68 340; 135 060
Juillet 2010; 67 250; 69 210; 136 460
Août 2010; 68 270; 70 650; 138 930
Septembre 2010; 69 170; 71 960; 141 120
Octobre 2010; 69 600; 72 490; 142 090
Novembre 2010; 70 030; 72 910; 142 930
Décembre 2010; 70 070; 72 470; 142 540
Janvier 2011; 71 670; 74 050; 145 720
Février 2011; 72 160; 74 770; 146 930
Mars 2011; 72 590; 75 340; 147 930
Avril 2011; 71 950; 74 760; 146 710
Mai 2011; 72 180; 75 170; 147 350
Juin 2011; 71 490; 74 790; 146 280
Juillet 2011; 71 610; 75 360; 146 970
Août 2011; 72 460; 76 570; 149 040
Septembre 2011; 73 000; 77 690; 150 690
Octobre 2011; 72 810; 77 700; 150 500
Novembre 2011; 73 030; 77 600; 150 630
Décembre 2011; 73 420; 77 090; 150 520
Janvier 2012; 75 020; 78 130; 153 150
Février 2012; 74 990; 77 980; 152 970
Mars 2012; 75 740; 79 220; 154 970
Avril 2012; 75 300; 78 810; 154 120
Mai 2012; 74 930; 78 540; 153 470
Juin 2012; 75 080; 78 750; 153 830
Juillet 2012; 75 590; 79 550; 155 140
Août 2012; 76 630; 81 430; 158 060
Septembre 2012; 76 670; 81 090; 157 770
Octobre 2012; 77 860; 82 270; 160 130
Novembre 2012; 78 450; 82 680; 161 140
Décembre 2012; 78 550; 81 780; 160 330
Janvier 2013; 80 940; 83 160; 164 100
Février 2013; 81 490; 83 300; 164 790
Mars 2013; 81 650; 83 570; 165 220
Avril 2013; 82 340; 84 310; 166 650
Mai 2013; 82 090; 83 920; 166 000
Juin 2013; 80 990; 82 710; 163 700
Juillet 2013; 81 870; 84 310; 166 190
Août 2013; 82 970; 85 760; 168 740
Septembre 2013; 83 350; 86 130; 169 480
Octobre 2013; 83 920; 87 010; 170 930
Novembre 2013; 83 350; 86 180; 169 530
Décembre 2013; 82 640; 85 060; 167 710
Janvier 2014; 84 390; 86 230; 170 610
Février 2014; 84 260; 86 220; 170 480
Mars 2014; 84 070; 86 470; 170 550
Avril 2014; 84 260; 87 110; 171 370
Mai 2014; 84 020; 86 760; 170 780
Juin 2014; 84 050; 86 850; 170 900
Juillet 2014; 84 680; 88 020; 172 710
Août 2014; 85 030; 88 340; 173 380
Septembre 2014; 85 560; 88 960; 174 520
Octobre 2014; 85 950; 89 790; 175 730
Novembre 2014; 85 230; 88 750; 173 980
Décembre 2014; 84 930; 88 330; 173 260
Janvier 2015; 86 320; 89 230; 175 560
Février 2015; 86 130; 89 530; 175 660
Mars 2015; 86 320; 89 780; 176 090
Avril 2015; 86 340; 90 130; 176 470
Mai 2015; 85 980; 90 080; 176 060
Juin 2015; 86 440; 90 800; 177 240
Juillet 2015; 86 470; 91 600; 178 060
Août 2015; 86 770; 92 360; 179 130
Septembre 2015; 87 250; 93 000; 180 250
Octobre 2015; 87 710; 93 470; 181 180
Novembre 2015; 85 840; 90 920; 176 760
Décembre 2015; 86 620; 92 070; 178 700
Janvier 2016; 88 040; 92 680; 180 710
Février 2016; 87 860; 92 760; 180 620
Mars 2016; 87 900; 92 930; 180 820
Avril 2016; 86 820; 91 750; 178 570
Mai 2016; 86 820; 92 000; 178 820
Juin 2016; 86 390; 92 180; 178 570
Juillet 2016; 86 390; 91 790; 178 180
Août 2016; 87 510; 93 920; 181 430
Septembre 2016; 87 360; 94 210; 181 570
Octobre 2016; 87 470; 94 060; 181 530
Novembre 2016; 87 480; 94 130; 181 610
Décembre 2016; 87 240; 93 160; 180 400
Janvier 2017; 88 910; 94 050; 182 970
Février 2017; 88 470; 93 790; 182 260
Mars 2017; 88 000; 93 450; 181 450
Avril 2017; 87 320; 92 930; 180 250
Mai 2017; 87 280; 93 200; 180 480
Juin 2017; 86 870; 93 050; 179 920
Juillet 2017; 86 740; 93 060; 179 810
Août 2017; 88 020; 94 640; 182 670
Septembre 2017; 87 730; 94 570; 182 310
Octobre 2017; 87 860; 94 650; 182 510
Novembre 2017; 87 600; 94 130; 181 730
Décembre 2017; 86 800; 93 000; 179 800
Janvier 2018; 88 670; 94 210; 182 880
Février 2018; 88 500; 94 180; 182 680
Mars 2018; 88 160; 93 910; 182 070
Avril 2018; 87 850; 93 620; 181 480
Mai 2018; 88 420; 93 990; 182 410
