Source : Pôle emploi - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à Pôle emploi par Sexe/Âge - Département : La Réunion 974 - Janvier 1996 à Janvier 2023 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?fj=974&lo=0&ss=1
Mois;Hommes/Moins de 25 ans;Hommes/De 25 à 49 ans;Hommes/50 ans ou plus;Total Hommes;Femmes/Moins de 25 ans;Femmes/De 25 à 49 ans;Femmes/50 ans ou plus;Total Femmes;Total
Janvier 1996; 11 310; 35 730; 3 560; 50 600; 13 280; 35 560; 2 700; 51 540; 102 140
Février 1996; 11 540; 36 350; 3 620; 51 510; 13 460; 35 940; 2 760; 52 160; 103 670
Mars 1996; 11 650; 36 370; 3 630; 51 650; 13 300; 36 180; 2 740; 52 220; 103 870
Avril 1996; 11 670; 36 720; 3 680; 52 070; 13 120; 36 280; 2 780; 52 180; 104 250
Mai 1996; 11 640; 36 840; 3 670; 52 150; 12 920; 36 130; 2 750; 51 800; 103 940
Juin 1996; 11 570; 36 690; 3 680; 51 940; 12 820; 36 200; 2 780; 51 800; 103 740
Juillet 1996; 11 850; 36 980; 3 700; 52 530; 13 360; 36 640; 2 820; 52 820; 105 350
Août 1996; 12 180; 37 010; 3 710; 52 900; 13 930; 37 360; 2 890; 54 180; 107 080
Septembre 1996; 12 540; 36 960; 3 750; 53 250; 14 180; 37 290; 2 920; 54 390; 107 640
Octobre 1996; 12 480; 37 160; 3 820; 53 460; 14 350; 37 890; 2 990; 55 230; 108 690
Novembre 1996; 12 330; 37 160; 3 820; 53 310; 14 130; 37 710; 2 960; 54 800; 108 120
Décembre 1996; 12 110; 37 890; 3 870; 53 870; 13 730; 37 330; 2 950; 54 010; 107 880
Janvier 1997; 12 420; 39 060; 3 920; 55 400; 14 110; 38 460; 2 990; 55 560; 110 960
Février 1997; 12 450; 39 380; 3 960; 55 790; 13 960; 38 480; 2 990; 55 430; 111 220
Mars 1997; 12 380; 39 520; 4 030; 55 930; 13 720; 38 430; 2 980; 55 130; 111 060
Avril 1997; 12 480; 40 350; 4 120; 56 950; 13 790; 39 170; 3 020; 55 980; 112 920
Mai 1997; 12 280; 40 310; 4 150; 56 740; 13 430; 38 700; 3 020; 55 150; 111 910
Juin 1997; 11 950; 40 080; 4 100; 56 130; 13 160; 38 670; 3 010; 54 840; 110 970
Juillet 1997; 12 280; 40 230; 4 110; 56 620; 13 730; 39 050; 3 010; 55 790; 112 420
