Mois,Non renseigné,Niveau supérieur à Bac+2,Niveau Bac+2,Niveau Bac,"Niveau BEP, CAP","Niveau CEP, BEPC","Niveau inférieur au CEP, BEPC",Total
2017-12-31,60,10930,15480,36060,65510,14220,37550,179800
2018-01-31,80,11130,15840,36740,66690,14450,37940,182880
2018-02-28,70,11170,15850,36860,66500,14410,37820,182680
2018-03-31,70,11190,15810,36810,66280,14330,37590,182070
2018-04-30,50,11260,15780,36710,65940,14260,37480,181480
2018-05-31,700,9370,13020,36230,69450,16760,36880,182410
2018-06-30,2570,10420,15030,36810,67800,14940,33970,181530
2018-07-31,1540,10480,15140,37060,68330,15210,34750,182510
2018-08-31,300,11370,16080,37890,68680,14870,34980,184160
2018-09-30,230,11400,16070,37970,68520,14770,34800,183750
2018-10-31,180,11500,16200,38090,68720,14890,34870,184460
2018-11-30,130,11490,15920,37540,67770,14700,34480,182040
2018-12-31,120,11460,15850,37410,67700,14680,34390,181610
2019-01-31,120,11770,16160,38370,68990,15040,34480,184910
2019-02-28,110,11680,16170,38290,68670,14900,34410,184230
2019-03-31,100,11520,16090,38230,68440,14840,34390,183610
2019-04-30,90,11490,16010,38100,68160,14830,34320,182990
2019-05-31,90,11450,15850,37830,67760,14620,34050,181650
2019-06-30,80,11460,15840,37920,67680,14600,34060,181640
2019-07-31,90,11620,16020,38360,67930,14660,34190,182860
2019-08-31,90,11770,16150,38660,68130,14660,34320,183780
2019-09-30,80,11860,16200,38880,68100,14680,34070,183870
2019-10-31,90,11890,16120,38600,67740,14570,33930,182930
2019-11-30,80,11710,15810,37760,66420,14230,33410,179420
2019-12-31,60,11630,15630,37200,65860,14050,33270,177710
2020-01-31,60,11720,15850,37880,66630,14210,33510,179860
2020-02-29,50,11660,15680,37640,66000,14070,33180,178280
2020-03-31,50,11860,15820,37880,66030,14020,32860,178500
2020-04-30,50,12080,16000,38240,66190,14030,32650,179240
2020-05-31,60,12040,16010,38270,66020,13990,32660,179050
2020-06-30,60,12010,15960,38250,65990,13960,32610,178830
2020-07-31,70,12140,16010,38590,66020,14060,32650,179550
2020-08-31,70,12300,16180,39160,66530,14150,32730,181130
2020-09-30,90,12360,16170,39350,66820,14240,32800,181820
2020-10-31,80,12330,16070,39090,66490,14140,32500,180690
2020-11-30,70,12360,16040,38830,66110,14040,32300,179750
2020-12-31,60,12310,15930,38530,65950,13970,32150,178900
2021-01-31,80,12540,16110,39060,66590,14080,32230,180690
2021-02-28,80,12540,16060,39060,66560,14050,32160,180500
2021-03-31,80,12590,16210,39180,66830,14150,32200,181240
2021-04-30,70,12550,16010,38940,66450,14000,31890,179910
2021-05-31,70,12530,15920,38860,66210,14040,31820,179440
2021-06-30,70,12570,15950,39030,66130,13970,31680,179390
2021-07-31,80,12730,16060,39140,65930,13910,31500,179330
2021-08-31,90,12950,16310,39600,66370,13900,31570,180790
2021-09-30,60,13140,16300,39770,66410,13930,31490,181100
2021-10-31,70,13090,16210,39350,65820,13850,31210,179590
2021-11-30,50,13140,16140,39320,65680,13820,31120,179280
2021-12-31,50,13120,15950,38730,65140,13650,30840,177480
2022-01-31,50,13190,16020,38920,65140,13620,31180,178120
2022-02-28,60,13170,15870,38770,64630,13510,31020,177030
2022-03-31,50,13260,15980,39150,64910,13640,31290,178280
2022-04-30,50,13100,15810,38570,63750,13280,31660,176210
2022-05-31,40,13020,15630,38150,63190,13030,32310,175370
2022-06-30,50,12870,15420,37710,62520,12730,32930,174220
2022-07-31,50,12990,15520,37860,62520,12490,33400,174830
2022-08-31,70,13350,15730,38490,62950,12440,34100,177140
2022-09-30,110,13550,15720,38490,62530,12230,34360,176990
2022-10-31,110,13680,15580,38350,62070,12080,34400,176270
2022-11-30,100,13790,15520,38250,62010,11960,34590,176220
2022-12-31,100,13570,15260,37650,61280,11760,34470,174070
